YYYY-MM-DD       JulianDate          Filter  Target
2018-04-18       2458227.05556       R       S5_0716+71  
2018-04-18       2458227.05781       R       S5_0716+71  
2018-04-20       2458229.16706       R       3C273       
2018-04-20       2458229.16933       R       3C273       
2018-04-20       2458229.13245       R       4C71-07     
2018-04-20       2458229.13470       R       4C71-07     
2018-04-20       2458229.16159       R       Mkn421      
2018-04-20       2458229.16383       R       Mkn421      
2018-04-20       2458229.11560       R       OJ248       
2018-04-20       2458229.11786       R       OJ248       
2018-04-20       2458229.12076       R       OJ287       
2018-04-20       2458229.12302       R       OJ287       
2018-04-20       2458229.12646       R       OJ49        
2018-04-20       2458229.12872       R       OJ49        
2018-04-20       2458229.10995       R       PKS0735+17  
2018-04-20       2458229.11220       R       PKS0735+17  
2018-04-20       2458229.13769       R       S4_0954+65  
2018-04-20       2458229.13994       R       S4_0954+65  
2018-04-20       2458229.15853       R       S4_0954+65  
2018-04-20       2458229.10494       R       S5_0716+71  
2018-04-20       2458229.10719       R       S5_0716+71  
2018-04-21       2458230.07470       R       4C71-07     
2018-04-21       2458230.07697       R       4C71-07     
2018-04-21       2458230.05929       R       OJ248       
2018-04-21       2458230.06154       R       OJ248       
2018-04-21       2458230.06400       R       OJ287       
2018-04-21       2458230.06626       R       OJ287       
2018-04-21       2458230.06922       R       OJ49        
2018-04-21       2458230.07148       R       OJ49        
2018-04-21       2458230.05409       R       PKS0735+17  
2018-04-21       2458230.05633       R       PKS0735+17  
2018-04-21       2458230.07950       R       S4_0954+65  
2018-04-21       2458230.08175       R       S4_0954+65  
2018-04-21       2458230.04839       R       S5_0716+71  
2018-04-21       2458230.05064       R       S5_0716+71  
2018-04-22       2458231.18770       R       3C273       
2018-04-22       2458231.18995       R       3C273       
2018-04-22       2458231.20295       R       3C279       
2018-04-22       2458231.20521       R       3C279       
2018-04-22       2458231.23788       R       3C345       
2018-04-22       2458231.24014       R       3C345       
2018-04-22       2458231.28081       R       3C371       
2018-04-22       2458231.19295       R       4C29-45     
2018-04-22       2458231.19520       R       4C29-45     
2018-04-22       2458231.22850       R       4C38-41     
2018-04-22       2458231.23074       R       4C38-41     
2018-04-22       2458231.27561       R       4C51-37     
2018-04-22       2458231.27786       R       4C51-37     
2018-04-22       2458231.17237       R       4C71-07     
2018-04-22       2458231.17463       R       4C71-07     
2018-04-22       2458231.22350       R       DA406       
2018-04-22       2458231.22575       R       DA406       
2018-04-22       2458231.18240       R       Mkn421      
2018-04-22       2458231.18465       R       Mkn421      
2018-04-22       2458231.23321       R       Mkn501      
2018-04-22       2458231.23545       R       Mkn501      
2018-04-22       2458231.15959       R       OJ287       
2018-04-22       2458231.19766       R       ON231       
2018-04-22       2458231.19991       R       ON231       
2018-04-22       2458231.21708       R       PKS1510-08  
2018-04-22       2458231.21934       R       PKS1510-08  
2018-04-22       2458231.17716       R       S4_0954+65  
2018-04-22       2458231.17940       R       S4_0954+65  
2018-04-22       2458231.15604       R       S5_0716+71  
2018-04-23       2458232.19605       R       3C273       
2018-04-23       2458232.19831       R       3C273       
2018-04-23       2458232.21109       R       3C279       
2018-04-23       2458232.21334       R       3C279       
2018-04-23       2458232.20126       R       4C29-45     
2018-04-23       2458232.20352       R       4C29-45     
2018-04-23       2458232.18086       R       4C71-07     
2018-04-23       2458232.18310       R       4C71-07     
2018-04-23       2458232.19078       R       Mkn421      
2018-04-23       2458232.19303       R       Mkn421      
2018-04-23       2458232.20587       R       ON231       
2018-04-23       2458232.20812       R       ON231       
2018-04-23       2458232.18553       R       S4_0954+65  
2018-04-23       2458232.18778       R       S4_0954+65  
2018-04-23       2458232.11772       R       S5_0716+71  
2018-05-01       2458240.17856       R       3C273       
2018-05-01       2458240.18082       R       3C273       
2018-05-01       2458240.18376       R       4C29-45     
2018-05-01       2458240.18602       R       4C29-45     
2018-05-01       2458240.20615       R       4C38-41     
2018-05-01       2458240.20839       R       4C38-41     
2018-05-01       2458240.16345       R       4C71-07     
2018-05-01       2458240.16569       R       4C71-07     
2018-05-01       2458240.20029       R       DA406       
2018-05-01       2458240.20291       R       DA406       
2018-05-01       2458240.17330       R       Mkn421      
2018-05-01       2458240.17554       R       Mkn421      
2018-05-01       2458240.21074       R       Mkn501      
2018-05-01       2458240.21299       R       Mkn501      
2018-05-01       2458240.18836       R       ON231       
2018-05-01       2458240.19061       R       ON231       
2018-05-01       2458240.19403       R       PKS1510-08  
